TRT no.,BLOCK,ET,Leaf Gth (mm/day),Sh. density (no./cm2),Leaf width (mm),HOC,N,Species,,,,,,,TRT no.,BLOCK,ET (mm/day),Leaf Gth (mm/day),Sh. density (no./cm2),Leaf width (mm)
2,1,3.99073,0.78485,1033.44,1,high,low,cb,,,,,,,,,,,,
1,1,3.79424,0.29091,861.2,1,low,low,cb,,,,,,,,,,,,
3,1,3.73687,0.41515,1054.97,1.1,low,high,cb,,,,,,,,,,,,
4,1,4.06976,1.28182,861.2,1.1,high,high,cb,,,,,,,,,,,,
2,2,4.66527,0.87576,753.55,1.4,high,low,cb,,,,,,,,,,,,
1,2,3.90764,0.2697,1141.09,1.1,low,low,cb,,,,,,,,,,,,
4,2,3.98522,1.35152,904.26,1.1,high,high,cb,,,,,,,,,,,,
3,2,2.54776,0.32727,1054.97,1,low,high,cb,,,,,,,,,,,,
1,3,4.2501,0.33636,990.38,1,low,low,cb,,,,,,,,,,,,
2,3,4.77372,0.88788,839.67,1.1,high,low,cb,,,,,,,,,,,,
4,3,4.67316,1.21515,947.32,1,high,high,cb,,,,,,,,,,,,
3,3,4.04466,0.2697,1334.86,1.1,low,high,cb,,,,,,,,,,,,
2,4,4.27504,1.02121,1119.56,1,high,low,cb,,,,,,,,,,,,
1,4,4.12834,0.30303,990.38,1.1,low,low,cb,,,,,,,,,,,,
3,4,3.86591,0.34848,947.32,1.1,low,high,cb,,,,,,,,,,,,
4,4,4.90723,1.36061,1033.44,1.3,high,high,cb,,,,,,,,,,,,
5,1,4.00219,1.1,258.36,2,low,low,kb,,,,,,,,,,,,
6,1,4.28727,0.78788,86.12,2,high,low,kb,,,,,,,,,,,,
8,1,5.74308,1.77879,129.18,1.5,high,high,kb,,,,,,,,,,,,
7,1,3.68974,1.46364,430.6,1.7,low,high,kb,,,,,,,,,,,,
8,2,5.04903,1.30303,86.12,1.75,high,high,kb,,,,,,,,,,,,
7,2,3.93698,0.9,236.83,2,low,high,kb,,,,,,,,,,,,
5,2,4.43665,1.34545,43.06,2,low,low,kb,,,,,,,,,,,,
6,2,4.30111,0.94545,86.12,2,high,low,kb,,,,,,,,,,,,
5,3,4.54441,1.17879,215.3,1.8,low,low,kb,,,,,,,,,,,,
6,3,4.6624,0.82727,129.18,1.5,high,low,kb,,,,,,,,,,,,
7,3,4.18171,0.66061,258.36,2.2,low,high,kb,,,,,,,,,,,,
8,3,4.21643,1.21515,129.18,2.3,high,high,kb,,,,,,,,,,,,
6,4,5.44057,1.15455,129.18,1.5,high,low,kb,,,,,,,,,,,,
5,4,5.08137,1.0303,279.89,1.7,low,low,kb,,,,,,,,,,,,
8,4,5.14645,1.42424,172.24,2,high,high,kb,,,,,,,,,,,,
7,4,4.62937,1.17576,150.71,1.4,low,high,kb,,,,,,,,,,,,
11,1,4.66352,2.41212,258.36,1.8,low,high,pr,,,,,,,,,,,,
12,1,6.04923,2.50606,129.18,2,high,high,pr,,,,,,,,,,,,
10,1,4.14984,1.47273,86.12,2,high,low,pr,,,,,,,,,,,,
9,1,4.41286,2.15455,215.3,1.5,low,low,pr,,,,,,,,,,,,
11,2,4.63501,2.3303,129.18,1.8,low,high,pr,,,,,,,,,,,,
12,2,6.06101,2.15152,86.12,1.75,high,high,pr,,,,,,,,,,,,
10,2,4.34803,1.23939,107.65,1.5,high,low,pr,,,,,,,,,,,,
9,2,4.16069,1.65152,172.24,1.5,low,low,pr,,,,,,,,,,,,
9,3,5.08658,2.04242,344.48,1.7,low,low,pr,,,,,,,,,,,,
10,3,6.1735,1.86061,129.18,2,high,low,pr,,,,,,,,,,,,
12,3,7.74426,2.13939,86.12,1.5,high,high,pr,,,,,,,,,,,,
11,3,5.16381,2.55455,215.3,1.5,low,high,pr,,,,,,,,,,,,
10,4,4.4413,1.49394,86.12,1.75,high,low,pr,,,,,,,,,,,,
9,4,5.08068,1.8303,301.42,1.7,low,low,pr,,,,,,,,,,,,
12,4,6.26461,2.02121,86.12,1.75,high,high,pr,,,,,,,,,,,,
11,4,4.82569,2.10606,258.36,2,low,high,pr,,,,,,,,,,,,
